continent,ingredient,prevalence,count
Asia,Basil,0.06018614270941055,291.0
Asia,Carrot,0.0655635987590486,317.0
Asia,Cayenne,0.14022750775594622,678.0
Asia,Cilantro,0.06370217166494313,308.00000000000006
Asia,Cucumber,0.040744570837642186,196.99999999999997
Asia,Fish,0.048190279214064116,233.0
Asia,Garlic,0.3042399172699069,1470.9999999999998
Asia,Lettuce,0.02068252326783868,100.00000000000001
Asia,Lime_juice,0.03412616339193381,164.99999999999997
Asia,Mint,0.029576008273009307,143.0
Asia,Olive_oil,0.16504653567735264,798.0
Asia,Rice,0.07921406411582213,383.0
Asia,Seed,0.03019648397104447,146.0
Asia,Shiitake,0.004343329886246122,20.999999999999996
Asia,Shrimp,0.031023784901758014,150.0
Asia,Vinegar,0.14415718717683554,696.9999999999998
Asia,Black_pepper,0.1547052740434333,748.0
Asia,Onion,0.31830403309203725,1539.0000000000002
Asia,Soy_sauce,0.05853154084798345,282.99999999999994
Asia,Thai_pepper,0.0062047569803516025,29.999999999999996
Asia,Bean,0.03474663908996898,168.00000000000003
Asia,Beef_broth,0.01158221302998966,56.0
Asia,Ginger,0.09596690796277146,464.0
Asia,Lime,0.027300930713547045,131.99999999999997
Asia,Pea,0.023371251292657703,112.99999999999999
Asia,Roasted_beef,0.005170630816959669,25.0
Asia,Shallot,0.018407445708376418,88.99999999999999
Asia,Vegetable_oil,0.20889348500517066,1010.0000000000001
Asia,Coriander,0.05873836608066184,284.0
Asia,Lemon,0.05563598759048604,269.0
Asia,Peanut,0.015511892450879009,75.00000000000001
Asia,Scallion,0.07094105480868666,343.0
Asia,Beef,0.07631851085832471,368.99999999999994
Asia,Lemongrass,0.010548086866597724,50.99999999999999
Asia,Root,0.0014477766287487074,7.0
Asia,Sesame_oil,0.0157187176835574,76.00000000000001
Asia,Chicken,0.1110651499482937,537.0
Asia,Oregano,0.0452947259565667,219.0
Asia,Pineapple,0.032885211995863486,158.99999999999994
Asia,Tomato,0.16339193381592554,790.0
Asia,Bread,0.07300930713547052,352.99999999999994
Asia,Butter,0.3530506721820062,1707.0
Asia,Egg,0.3536711478800414,1710.0000000000002
Asia,Lard,0.056670113753877975,274.0
Asia,Mushroom,0.05356773526370217,259.0
Asia,Pork,0.03329886246122027,161.0
Asia,Wheat,0.34146845915201657,1651.0
Asia,Mango,0.01344364012409514,65.0
Asia,Chicken_broth,0.06639089968976215,321.0
Asia,Coconut,0.04777662874870734,231.0
Asia,Cumin,0.08521199586349534,412.0
Asia,Fenugreek,0.031644260599793174,153.0
Asia,Pepper,0.17394002068252326,841.0
Asia,Turmeric,0.054601861427094105,264.0
Asia,Cane_molasses,0.1340227507755946,648.0
